"DAYDT";"WEEKOFYEARID";"YEARID";"MONTH"
"2011-02-26";8;2011;2
"2011-09-05";36;2011;9
"2012-07-09";28;2012;7
"2010-12-30";52;2010;12
"2012-08-23";34;2012;8
"2011-06-25";25;2011;6
"2012-02-28";9;2012;2
"2012-08-20";34;2012;8
"2012-03-16";11;2012;3
"2010-11-16";46;2010;11
"2010-02-03";5;2010;2
"2011-08-27";34;2011;8
"2011-05-11";19;2011;5
"2011-07-25";30;2011;7
"2010-10-01";39;2010;10
"2012-08-16";33;2012;8
"2012-07-17";29;2012;7
"2011-04-12";15;2011;4
"2011-06-09";23;2011;6
"2011-02-14";7;2011;2
"2012-02-17";7;2012;2
"2010-10-31";43;2010;10
"2012-07-27";30;2012;7
"2011-12-13";50;2011;12
"2012-11-05";45;2012;11
"2010-10-19";42;2010;10
"2011-06-28";26;2011;6
"2010-09-04";35;2010;9
"2011-01-26";4;2011;1
"2010-12-23";51;2010;12
"2011-03-11";10;2011;3
"2012-09-17";38;2012;9
"2010-01-13";2;2010;1
"2012-03-10";10;2012;3
"2011-11-02";44;2011;11
"2010-03-13";10;2010;3
"2010-06-22";25;2010;6
"2012-09-19";38;2012;9
"2011-03-13";10;2011;3
"2010-02-14";6;2010;2
"2010-04-16";15;2010;4
"2012-02-11";6;2012;2
"2010-08-13";32;2010;8
"2010-01-22";3;2010;1
"2011-07-13";28;2011;7
"2012-05-03";18;2012;5
"2011-02-25";8;2011;2
"2010-12-14";50;2010;12
"2010-09-28";39;2010;9
"2010-11-02";44;2010;11
"2011-04-15";15;2011;4
"2010-09-23";38;2010;9
"2011-04-11";15;2011;4
"2010-12-17";50;2010;12
"2011-06-20";25;2011;6
"2012-06-27";26;2012;6
"2012-09-22";38;2012;9
"2010-06-17";24;2010;6
"2012-06-25";26;2012;6
"2011-10-09";40;2011;10
"2012-08-01";31;2012;8
"2012-10-17";42;2012;10
"2011-10-07";40;2011;10
"2011-02-04";5;2011;2
"2010-01-21";3;2010;1
"2012-05-07";19;2012;5
"2012-01-22";3;2012;1
"2012-02-10";6;2012;2
"2010-02-15";7;2010;2
"2011-01-05";1;2011;1
"2011-06-16";24;2011;6
"2011-10-08";40;2011;10
"2012-05-20";20;2012;5
"2010-11-30";48;2010;11
"2011-10-31";44;2011;10
"2011-08-13";32;2011;8
"2011-08-19";33;2011;8
"2010-01-03";52;2010;1
"2010-05-05";18;2010;5
"2010-03-08";10;2010;3
"2010-08-08";31;2010;8
"2010-06-24";25;2010;6
"2011-12-20";51;2011;12
"2012-12-22";51;2012;12
"2010-11-24";47;2010;11
"2010-01-24";3;2010;1
"2012-01-10";2;2012;1
"2010-03-09";10;2010;3
"2012-07-29";30;2012;7
"2010-05-24";21;2010;5
"2011-06-02";22;2011;6
"2011-02-01";5;2011;2
"2011-06-14";24;2011;6
"2011-11-15";46;2011;11
"2010-05-30";21;2010;5
"2012-12-17";51;2012;12
"2011-08-06";31;2011;8
"2011-11-17";46;2011;11
"2012-06-30";26;2012;6
"2011-07-22";29;2011;7
"2010-07-03";26;2010;7
"2012-04-17";16;2012;4
"2010-08-27";34;2010;8
"2010-06-08";23;2010;6
"2010-10-08";40;2010;10
"2011-09-21";38;2011;9
"2010-08-23";34;2010;8
"2010-05-02";17;2010;5
"2012-08-29";35;2012;8
"2012-05-01";18;2012;5
"2012-04-01";13;2012;4
"2012-02-24";8;2012;2
"2010-07-21";29;2010;7
"2011-07-28";30;2011;7
"2012-09-11";37;2012;9
"2012-03-01";9;2012;3
"2012-12-10";50;2012;12
"2012-09-20";38;2012;9
"2012-04-25";17;2012;4
"2012-09-18";38;2012;9
"2011-04-25";17;2011;4
"2011-09-24";38;2011;9
"2012-08-13";33;2012;8
"2011-04-23";16;2011;4
"2012-03-03";9;2012;3
"2010-11-29";48;2010;11
"2010-11-27";47;2010;11
"2011-11-13";45;2011;11
"2010-02-06";5;2010;2
"2011-07-19";29;2011;7
"2011-11-28";48;2011;11
"2011-09-22";38;2011;9
"2012-02-16";7;2012;2
"2012-05-27";21;2012;5
"2010-06-21";25;2010;6
"2010-06-06";22;2010;6
"2010-11-09";45;2010;11
"2011-07-10";27;2011;7
"2012-10-25";43;2012;10
"2010-02-16";7;2010;2
"2011-02-06";5;2011;2
"2012-09-01";35;2012;9
"2010-09-21";38;2010;9
"2011-01-19";3;2011;1
"2012-05-05";18;2012;5
"2010-07-26";30;2010;7
"2011-07-05";27;2011;7
"2010-03-11";10;2010;3
"2012-06-19";25;2012;6
"2012-05-22";21;2012;5
"2011-01-24";4;2011;1
"2010-03-28";12;2010;3
